tweet_text,geo_latitude,geo_longitude,hotspot_id
"recarga de botellón (@ baum in mar del plata, buenos aires) https://t.co/qnl7cekg61",-38.00973595,-57.5553524,1
"acaba de publicar una foto en mar del plata, argentina https://t.co/6iiszkrmu1",-38.00809969,-57.53999423,1
"#playaaaa.. @ mar del plata, argentina https://t.co/mynyyeqcuw",-38.00809969,-57.53999423,1
"🕵 @ mar del plata, argentina https://t.co/e8lqk6wshj",-38.0,-57.55,1
"acaba de publicar una foto en mar del plata, argentina https://t.co/3sanrhy6ad",-38.00809969,-57.53999423,1
"i'm at paseo diagonal in mar del plata, buenos aires https://t.co/qnus59bina",-37.99471347,-57.54988043,1
"en la playa 😎 en mar del plata, argentina https://t.co/alpit0molx",-38.00809969,-57.53999423,1
"se rinde #miedoon (@ facultad de psicología (unmdp) in mar del plata, buenos aires) https://t.co/9cxdiswf4h",-38.00502248,-57.57088707,1
"y qué mejor que compartirlo con ustedes ❤️❤️ en mar del plata, argentina https://t.co/upf0nmerc8",-38.00809969,-57.53999423,1
📚👓🌷 en universidad nacional de mar del plata https://t.co/r1c3dnndey,-37.99723988,-57.54642902,1
"rutina 🏋 en mar del plata, argentina https://t.co/vi3igizizn",-38.0,-57.55,1
"#m9mdq pinto playa después de los partidos en mar del plata, argentina https://t.co/qfywxf6w7q",-38.00809969,-57.53999423,1
"toda está en mi la confianza! en mar del plata, argentina https://t.co/fb7xmzkqg2",-38.0,-57.55,1
"i'm at paseo diagonal in mar del plata, buenos aires https://t.co/yveqircr55",-37.99471347,-57.54988043,1
"una ultima vez es todo lo que necesito. ph @gaabiesposito en mar del plata, argentina https://t.co/r0do0ffyp0",-38.0,-57.55,1
"acaba de publicar un video en mar del plata, argentina https://t.co/ubjv1wulxh",-38.0,-57.55,1
"una de hoy 💪 mdp 2017💚 en mar del plata, argentina https://t.co/dwiwu2lwte",-38.0,-57.55,1
"mi bello niño mayor!!! en mar del plata, argentina https://t.co/5nakqie5uj",-38.0,-57.55,1
"verde que te quiero verde en mar del plata, argentina https://t.co/tv8j3mxwka",-38.0,-57.55,1
"acaba de publicar una foto en mar del plata, argentina https://t.co/sfzfmdvhzk",-38.0,-57.55,1
"😝😝😝 #martes en mar del plata, argentina https://t.co/3gwimntcls",-38.00809969,-57.53999423,1
"feliz dia de la madre a todas 🌹❤💋 en mar del plata, argentina https://t.co/t7evfcapkx",-38.00809969,-57.53999423,1
"tarde de paseo x el puerto. en chichilo, puerto, mar del plata https://t.co/uojkwmzpgi",-38.04619736,-57.54318369,1
"abre tus alas en mar del plata, argentina https://t.co/c528rqc2qx",-38.00809969,-57.53999423,1
"acaba de publicar una foto en mar del plata, argentina https://t.co/ssyn1taaox",-38.00809969,-57.53999423,1
"reinauguracion el paso (@ liverpool bar - @liverpoolmdp in mar del plata, buenos aires) https://t.co/rwe8kz8gbz",-38.00381522,-57.55063052,1
"me alegras la vida 💕 @ mar del plata, argentina https://t.co/p904ir6hlo",-38.0,-57.55,1
"mi mejor siempre❤️ en mar del plata, argentina https://t.co/qcjwxfat9b",-38.00809969,-57.53999423,1
"⚄ @ mar del plata, argentina https://t.co/mipw134lfx",-38.0,-57.55,1
"ella es como las estrellas, siempre brilla en mi oscuridad. te amo mejor, feliz día 💕 @ mar del… https://t.co/rjtm6ord2p",-38.0,-57.55,1
"#jc❤️ #felicidad @ mar del plata, argentina https://t.co/mxjch5azfs",-38.0,-57.55,1
"la más bella! 💕 flamea flamea!! jajajaja  #argentinaflag @ mar del plata, argentina https://t.co/ycy2a6lrko",-38.0,-57.55,1
"❄❄❄ @ mar del plata, argentina https://t.co/dxakt3njlp",-38.0,-57.55,1
"tiempo al tiempo y paciencia a la distancia. @ mar del plata, argentina https://t.co/cbyuaynoug",-38.00809969,-57.53999423,1
"💞 @ mar del plata, argentina https://t.co/x5nbqeag0v",-38.0,-57.55,1
"❣️💘😍 @ mar del plata, argentina https://t.co/zhcya3rsfm",-38.00809969,-57.53999423,1
"💍💍💍!!!!!! el reencuentro ... @ mar del plata, argentina https://t.co/atkj4xjdnd",-38.00809969,-57.53999423,1
lo lindo de mi vida es el saber que la gobierna tu ser 💙 #ciro @ mar… https://t.co/khtuuoxouh,-38.0,-57.55,1
"🏁🏁 @ mar del plata, argentina https://t.co/08vib0mfdj",-38.0,-57.55,1
"i'm at sum multiespacio in mar del plata, buenos aires https://t.co/l1vdfddi8g",-37.998013,-57.56845,1
"lo mejor de nuestra piel es que no nos deja huir 😔🙈 @ mar del plata, argentina https://t.co/le6rzecxe2",-38.00809969,-57.53999423,1
el clima en mar del plata | la temperatura en #mardelplata es de 9º c. el cielo está nublado.… https://t.co/717ddrqer7,-38.0,-57.55,1
"él, mi hermano. @ mar del plata mdp https://t.co/chnfxfrffm",-37.9769099,-57.58456,1
enzitocardenaggi @ teatro colón mar del plata https://t.co/wa8to8ekni,-37.9975391,-57.5497395,1
"🙌🏼 @ mar del plata, argentina https://t.co/rx8qnguqje",-38.0,-57.55,1
